Navegadores;solution_20170108_firefox_50_1_0_macs;solution_20170108_safari_10_0_2_macs;solution_20170108_firefox_47_0_linuxes;solution_20170108_chromium_51_0_2704_79_linuxes;solution_20170108_firefox_50_1_0_androids;solution_20170108_chrome_55_0_2883_95_macs;solution_20170108_edge_14_14393;solution_20170108_chrome_55_0_2883_87_windows
MAPE;1,0963794681407375;19,522271200948634;1,494333668047469;1000000;1,1034039142861627;1000000;3,6617665393617105;1000000
MAPE;1,0992810565558577;3,861897846443941;1,0723008071200613;1000000;1,0841432023404796;1,7965593200162282;5,533844515199482;1,1212277408154223
MAPE;1,0313238051053624;5,510099630440849;1,188476117817306;1000000;1,4089552990591183;1,276819559524075;7,670957395499499;1000000
MAPE;1,582893155517559;5,432924912979708;1,2233123119723437;1,0828828831282482;1,1961850579439173;1000000;5,61376975427952;1000000
MAPE;1,047021455950174;16,1536562036665;1,1168988867780767;1,0575272594248872;1,143351448736197;1000000;4,474201122360323;1000000
MAPE;1,0542237407311787;25,9636663598399;1,103846120146498;1,0588169269763659;1,067931892060088;1000000;6,856497364127377;1000000
MAPE;1,6225680851515787;4,987955597487595;1,1435316229909689;1000000;1,7836052769242035;1000000;4,396587374747782;1,0448801840561661
MAPE;1,0488514912905864;5,624766408898983;1,2881587052608228;1000000;1,5471649225425625;1000000;5,270443722266669;2,250012356526715
Navegadores;solution_20170108_firefox_50_1_0_macs;solution_20170108_safari_10_0_2_macs;solution_20170108_firefox_47_0_linuxes;solution_20170108_chromium_51_0_2704_79_linuxes;solution_20170108_firefox_50_1_0_androids;solution_20170108_chrome_55_0_2883_95_macs;solution_20170108_edge_14_14393;solution_20170108_chrome_55_0_2883_87_windows
MdAPE;1,1442762103810438;2,934158422022273;0,896725722134728;1,1170292495728547;1,0358787471891466;1000000;3,139883164408733;1,4411195229073734
MdAPE;0,9720329860352501;2,9547105549339965;1,1245455828588262;0,9178514677497422;0,9099598366354412;1000000;14,929988418509923;0,8972534224925066
MdAPE;0,7809554885632053;18,325540075393295;1,2717954652130448;1000000;0,8504318756767641;1000000;3,8291387801578427;1000000
MdAPE;0,8892516452844927;4,084411357817197;0,8482783377476258;1000000;0,8375197113152524;1,3639429319961769;5,503348843665769;0,9584844626668021
MdAPE;0,8079517230699765;3,2531466824938646;1,0501004276630825;1000000;1,2030544884535697;1,095755692040257;9,30859297216701;1000000
MdAPE;1,3400942137964864;3,1250652533682906;1,0137583397440817;0,8908033300201673;0,9544761561783605;1000000;3,42747717522577;1000000
MdAPE;0,8546242504655417;16,665104295682582;0,9244642047206532;0,8371927906090674;0,9132516239389522;1000000;2,912722529335911;1000000
MdAPE;0,8403945773206863;26,430107596351785;0,8237054004508436;0,8771733580256794;0,9392056406219809;1000000;3,8913283051973693;1000000
MdAPE;1,331908623287115;3,049965297166386;0,9275069013945797;1000000;1,4536896619034603;1000000;3,904418408363291;0,7709095892144515
MdAPE;0,7734391624067117;3,289817338996183;0,9809158992979236;1000000;1,2465245381411543;1000000;3,396427931157695;1,5730837306529732
Navegadores;solution_20170108_firefox_50_1_0_macs;solution_20170108_safari_10_0_2_macs;solution_20170108_firefox_47_0_linuxes;solution_20170108_chromium_51_0_2704_79_linuxes;solution_20170108_firefox_50_1_0_androids;solution_20170108_chrome_55_0_2883_95_macs;solution_20170108_edge_14_14393;solution_20170108_chrome_55_0_2883_87_windows
RMSPE;1,6365232758235635;4,774948473345831;1,4659488003021917;1,7690221784375877;1,587226899668475;1000000;4,4028060804060365;2,1246617781737926
RMSPE;1,3808013154935668;3,300467695056931;1,8672860032261545;1,3599781597081968;1,513934694982066;1000000;17,327518775339808;1,3895494838537463
RMSPE;1,4479552186836115;24,741903189985603;1,841534230802107;1000000;1,4216725912284822;1000000;4,236238840657642;1000000
RMSPE;1,3998882765638563;4,410900600064044;1,3585269686219248;1000000;1,4001269480372496;2,3068674299647283;6,285016508703981;1,4027278637364997
RMSPE;1,340751190271408;7,803175575264832;1,4849416978533343;1000000;1,766772381397626;1,603558238984014;8,53318299997335;1000000
RMSPE;1,997788998929284;7,786334857689693;1,563976518869561;1,3721271603041028;1,5111284705143837;1000000;7,916063145306234;1000000
RMSPE;1,3315628526355123;19,390473178890467;1,3933111366888977;1,3851148388689896;1,4458765593902985;1000000;6,195831832646066;1000000
RMSPE;1,3808436368677788;32,19989812360268;1,4521335905042876;1,371341015829493;1,3497055226325858;1000000;9,595110056113658;1000000
RMSPE;2,026644459687625;7,02976403534468;1,5074184909144592;1000000;2,2075184829512216;1000000;5,366839823169414;1,370958233893369
RMSPE;1,3819559190925588;7,997918488065287;1,633012477490427;1000000;1,9451202574162134;1000000;7,2337442289710525;2,9067624190456764
